objectid,filename,subject,title,format,description,creator,date,publisher,item_information,contributor,location,identifier,rights,rightsstatement,type,language
coll001,item01,"Library materials Digitization, Library materials Digitization United States Surveys, Public libraries, Public libraries United States Surveys, State libraries, State libraries Surveys, Surveys, United States","Advancing the national digital platform : the state of digitization in US public and state libraries
",pdf,"Summarizes the results of a needs assessment and gap analysis of digitization activities by public libraries and state library agencies in the United States. The report outlines key findings from surveys of U.S. public libraries and state library agencies, and provides observations and recommendations for future exploration in the area of supporting digitization efforts in public libraries. online resource (22 pages) : illustrations, statistics","Kendra Morgan (Author), Merrilee Proffitt (Author)",2017,OCLC Research ,survey,Institute of Museum and Library Services (U.S.) ,"OCLC, Dublin, Ohio","9781556535192, 1556535198, 966351334
","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,survey,English
coll002,item02,"Digital preservation, Electronic information resources, History, Library materials Digitization, Metadata, Sources, United States, United States History Sources, Web archives, Web archives United States
",Federal agencies digitization guidelines initiative,website,"This site is a collaborative effort by federal agencies formed as a group in 2007 to define common guidelines, methods, and practices to digitize historical content in a sustainable manner. Recognizing that the effort would require specialized expertise, two separate working groups were formed with the possibility that more tightly focused groups might be necessary as the work progressed. The Federal Agencies Still Image Digitization Working Group will concentrate its efforts on image content such as books, manuscripts, maps, and photographic prints and negatives. The Federal Agencies Audio-Visual Working Group is focusing its work on sound, video, and motion picture film.","Federal Agencies Digitization Guidelines Initiative (U.S.), Library of Congress",2012,Library of Congress,guidelines,,"Library of Congress, Washington, DC",http://www.digitizationguidelines.gov/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll003,item03,"Copyright and digital preservation, Copyright and digital preservation United States, Intellectual property, Intellectual property United States, Library materials Digitization, Library materials Digitization United States, United States
","Legal issues in mass digitization : a preliminary analysis and discussion document
",pdf,Provides access to various documents discussing copyright law implications of mass digitization projects,Library of Congress Copyright Office,2011,U.S. Copyright Office,legal document,Library of Congress,"U.S. Copyright Office, Washington, DC",805723888,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,legal document,English
coll004,item04,"Video tapes Conservation and restoration, Video tapes Digitization",The digitization of VHS video tapes,pdf,"Most archives, libraries and other heritage institutions have VHS videotapes in their collections. Often, this is the dominant video format found in these institutions because it was an economical and simple method for video recording. Unfortunately, like other magnetic tapes, the preservation of VHS videotape faces certain key challenges: it has a finite lifetime before degradation occurs; its playback technology is nearing its end-of-life and the expertise to repair playback equipment is disappearing. If the information recorded on VHS videotape is to remain accessible, it must be migrated to new technology. This Technical Bulletin provides information and procedures for digitizing VHS videotapes. It is intended to assist small to mid-size heritage institutions that lack the funds for professional digitization.",J. Iraci ,2020,Canadian Conservation Institute,book,,"Canadian Conservation Institute, Department of Canadian Heritage, Ottawa ON Canada","9780660354859, 0660354853","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,book,English
coll005,item05,"Canada, Digital preservation, Digital preservation Canada, Museum conservation methods Canada Data processing, Museum conservation methods Data processing, Museums Collection management, Canada Data processing",Capture your collections : a guide for managers who are planning and implementing digitization projects,pdf,Digitization planning guide,Ern Bieman ,2020, Canadian Heritage Information Network,book,,"Department of Canadian Heritage, Ottawa, ON","9780660340586, 0660340585","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,book,English
coll006,item06,"Digital preservation, DCMI, Metadata, Dublin core, Guide",Metadata Guidelines & Best Practices,pdf,Provides a comprehensive explanation of dublin core metadata practices and standards,ATLA Digital Library,2021,ATLA,guidelines,,ATLA Digital Library,https://docs.google.com/document/d/1YeKjJqskmL-0GFuieFhp9Qq7Wwp4_7sv3kwvEO2xOWE/edit,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll007,item07,"Metadata, Digital preservation, metadata standards",DLF Metadata Assessment Working Group,website,"Provides the metadata community with a central hub of varied example approaches to metadata guidance, as well as a way for the community to share work with their peers.","Becky Fried, Hannah Tarver ",2023 (last update),Digital Library Federation,guidelines,"Scott Goldstein, Anna Goslen, Greer Martin, Mandy Mastrovita",Digital Library Federation,https://dlfmetadataassessment.github.io/projects/metadata-application-profiles/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll008,item08,"Digital preservation, digitization, preservation guidelines",Preservation Guidelines for Digitizing Library Materials,website,A concise guide to digitally preserving library materials,Library of Congress,2020,Library of Congress,guidelines,,"Library of Congress, Washington, DC",https://www.loc.gov/preservation/care/scan.html,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll009,item09,"Digitization, digitization standards, digital preservation, multimedia digitization",Minimum Digitization Capture Recommendations,website,Provides recommendations for digitizing multimedia collections ,"Ian Bogus, George Blood, Robin L. Dale, Robin Leech, David Mathews",2013,ALCTS,guidelines,,ALA-ALCTS,Document ID: 385350f6-c4a6-4964-8feb-35869de28fee,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll010,item10,"Digitization, digitization standards, digital preservation, images, multimedia",Digitization Best Practices for Images,pdf,"""Guidelines for digitizing two-dimensional, non-textual materials for the
CARLI Digital Collections. The issues described concern image quality, file formats, storage, and
access.""",CARLI,2020,Consortium of Academic and Research Libraries in Illinois,guidelines,CARLI Digital Collections Users’ Group,"CARLI, Illinois",https://www.carli.illinois.edu/sites/files/digital_collections/documentation/guidelines_for_images.pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
